# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This list is generated automatically from 'portuguese-pos-dict'. 
# If you need to add entries manually, do it after the comment at the bottom.
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three tab-separated fields: fullform baseform postags
#
conosco	comigo	PP1CPO00
diversas	diverso	DI0FP0
diversas	diverso	PI0FP000
diversos	diverso	DI0MP0
diversos	diverso	PI0MP000
embaixo	embaixo	RG
idem	idem	RG
mega	mega	RG
mesmíssima	mesmíssimo	DD0FS0
mesmíssimas	mesmíssimo	DD0FP0
mesmíssimo	mesmíssimo	DD0MS0
mesmíssimos	mesmíssimo	DD0MP0
OK	OK	RG
Ok	ok	RG
ok	ok	RG
pouquíssima	pouquíssimo	DI0FS0
pouquíssimas	pouquíssimo	DI0FP0
pouquíssimo	pouquíssimo	DD0MS0
pouquíssimo	pouquíssimo	PI0MS000
pouquíssimos	pouquíssimo	DI0MP0
pouquíssimos	pouquíssimo	PI0MP000
pouquita	pouquito	DI0FS0
pouquitas	pouquito	DI0FP0
pouquito	pouquito	DI0MS0
pouquito	pouquito	PI0MS000
pouquitos	pouquito	DI0MP0
pq	pq	RG
vc	vc	PP3CS000
vcs	vcs	PP3CP000


######################################################
######################################################
# Add entries manually from here                     #
######################################################
######################################################
#
# problematic entries, to review
ad	ad	NCCSS00
ads	ad	NCCPS00
Airbus	Airbus	NCCNO00
Alpha	Alpha	AQ0CS0
Alpha	Alpha	NCCS000
Alphas	Alpha	AQ0CP0
Alphas	Alpha	NCCP000
B	B	AO0CN0
BBC	BBC	AQ0CN0
Blue	Blue	NCMN000
bold	bold	NCCS000
bolds	bold	NCCP000
bonehead	bonehead	NCCS000
boneheads	bonehead	NCCP000
bottom-up	bottom-up	NCCN000
BT	BT	AQ0CN0
bull	bull	NCMS000
C2	C2	NCMN000
card	card	NCMS000
cards	card	NCMP000
Catupiry	Catupiry	NCMS000
cem	cem	NCCN000
cento	cento	NCCN000
charter	charter	AQ0CN0
cm	cm	NCMN000
compliance	compliance	NCCS000
compliances	compliance	NCCP000
contactless	contactless	NCCN000
cropped	cropped	NCMS000
croppeds	cropped	NCMP000
crush	crush	NCCSS00
crushes	crush	NCCPS00
Ctrl	Ctrl	NCCS000
dBm	dBm	AO0CN0
dBmW	dBmW	AO0CN0
Dell	Dell	NCFSO00
demand	demand	NCFS000
demands	demand	NCFP000
desenrolar	desenrolar	NCMN000
direct	direct	NCMS000
directs	direct	NCMP000
Ed	Ed	NCMSS00
Eds	Ed	NCMPS00
EF	EF	NCCS000
epóxi	epóxi	AQ0CN0
extras	extra	AQ0CP0
flag	flag	NCFS000
flags	flag	NCFP000
footnote	footnote	NCFS000
footnotes	footnote	NCFP000
friendly	friendly	AQ0CS0
frontman	frontman	NCMS000
FSR	FSR	AQ0CN0
gap	gap	NCMS000
gap	gap	NCCS000
gaps	gap	NCMP000
gaps	gap	NCCP000
Globo	Globo	AQ0CN0
gold	gold	AQ0CN0
gold	gold	NCMS000
health	health	NCFS000
height	height	NCFS000
heights	height	NCFP000
hidro	hidro	NCFS000
idle	idle	NCMN000
iFood	iFood	AQ0CN0
layer	layer	NCFS000
layers	layer	NCFP000
Linux	Linux	AQ0CN0
lossless	lossless	NCCN000
Margherita	Margherita	AQ0FS0
Margheritas	Margherita	AQ0FP0
marketeer	marketeer	NCCS000
marketeers	marketeer	NCCP000
marketplace	marketplace	NCMS000
marketplaces	marketplace	NCMP000
Marvel	Marvel	AQ0CN0
Mastercard	Mastercard	AQ0CN0
MasterCard	MasterCard	AQ0CN0
média	média:2	NCMP000
mirrorless	mirrorless	AQ0CN0
oper	oper	NCCS000
opers	oper	NCCP000
Ophiuchus	Ophiuchus	AQ0CN0
performer	performer	NCCFS00
pet	pet	AQ0CN0
pet	pet	NCMS000
pets	pets	NCMP000
pix	pix	AQ0CN0
pix	pix	NCMS000
Play	Play	NCMS000
PlayArte	PlayArte	AQ0CN0
podere	podere	NCMSV00
popular	popular	NCCS000
prime	prime	AQ0CN0
Profa	Profa	NCFS000
PrtSc	PrtSc	NCCS000
Puma	Puma	NCCSO00
quentinho	quentinho	NCMS000
quentinhos	quentinho	NCMP000
R$	R$	NCCP000
R$	R$	NCCS000
R$	R$	NCMP000
R$	R$	NCMS000
Rebook	Rebook	NCCSO00
Red	Red	NCMN000
rockstar	rockstar	NCCS000
rockstars	rockstar	NCCP000
S	S	AO0CN0
s	s	AO0CN0
Samsung	Samsung	AQ0CN0
Selectra	Selectra	NCCS000
shelter	shelter	NCMS000
shelters	shelter	NCMP000
Shopee	Shopee	AQ0CN0
Shopee	Shopee	NCMSO00
Sicredi	Sicredi	NCMSO00
Simaria	Simaria	NCFSS00
Simarias	Simaria	NCFPS00
sis	sis	NCFS000
Skechers	Skechers	NCCSO00
spalla	spalla	NCFS000
spallas	spalla	NCFP000
Sr	Sr	NCMS000
Sra	Sra	NCFS000
Sras	Sra	NCFP000
Srs	Sr	NCMP000
Srta	Srta	NCFS000
Srtas	Srta	NCFP000
stealth	stealth	AQ0CN0
stealth	stealth	NCMN000
tá	tá	VMIP2S0
tá	tá	VMIP3S0
tá	tá	VMN0000
tão	tá	VMIP3P0
Telecom	Telecom	NCFSO00
thrasher	thrasher	NCCS000
thrashers	thrasher	NCCP000
threshold	threshold	NCMS000
thresholds	threshold	NCMP000
tip	tip	NCFS000
tips	tip	NCFP000
tô	tá	VMIP1S0
todinha	todo	NCFS00D
todinha	todo	NCFS00D
todinhas	todo	NCFP00D
todinhas	todo	NCFP00D
todinho	todo	NCMS00D
todinho	todo	NCMS00D
todinhos	todo	NCMP00D
todinhos	todo	NCMP00D
top-down	top-down	NCCN000
trigger	trigger	NCMS000
triggers	trigger	NCMP000
Umbro	Umbro	NCCSO00
UOL	UOL	AQ0CN0
user	user	NCMS000
user	user	NCMSS00
users	user	NCMP000
users	users	NCMSP00
VTEX	VTEX	NCFSO00
wannabe	wannabe	NCCS000
wannabes	wannabe	NCCP000
whiskas	whiskas	NCFP000
width	width	NCFS000
widths	width	NCFP000
yes-man	yes-man	NCMS000


# Added by Marco A.G.Pinto. Pedro told me to add here until he fixes the dictionary building.
autoinflingir	autoinflingir	VMN0000
Balikó	Balikó	NPMS000
Balikó	Balikó	NPMSS00
baratinho	baratinho	NCMS00D
baratinhos	baratinho	NCMP00D
caudalímetro	caudalímetro	NCMS000
caudalímetros	caudalímetro	NCMP000
chinchada	chinchada	NCFS000
descontracção	descontracção	NCFS000
descontracções	descontracção	NCFP000
euromilhões	euromilhões	NCMN000
inumada	inumado	AQ0FS0
inumadas	inumado	AQ0FP0
inumado	inumado	AQ0MS0
inumados	inumado	AQ0MP0
Jumarie	Jumarie	NPMS000
Milda	Milda	NPFS000
Nabeiro	Nabeiro	NPMS000
Nabeiro	Nabeiro	NPMSS00
palavra-passe	palavra-passe	NCFS000
palavras-passe	palavra-passe	NCFP000
peixe-dourado	peixe-dourado	NCMS000
peixes-dourados	peixe-dourado	NCMP000
Rogeiro	Rogeiro	NPMS000
Rogeiro	Rogeiro	NPMSS00
sistémica	sistémico	AQ0FS0
sistêmica	sistêmico	AQ0FS0
sistêmicas	sistêmico	AQ0FP0
sistémicas	sistémico	AQ0FP0
sistémico	sistémico	AQ0MS0
sistêmico	sistêmico	AQ0MS0
sistémicos	sistémico	AQ0MP0
sistêmicos	sistêmico	AQ0MP0
sossegadinha	sossegadinho	NCFS00D
sossegadinhas	sossegadinho	NCFP00D
sossegadinho	sossegadinho	NCMS00D
sossegadinhos	sossegadinho	NCMP00D
tênue	tênue	AQ0CS0
ténue	ténue	AQ0CS0
tênues	tênue	AQ0CP0
ténues	ténue	AQ0CP0
Tolstoy	Tolstoy	NPMS000
Tolstoy	Tolstoy	NPMSS00
videogravação	videogravação	NCFS000
videogravações	videogravação	NCFP000
Whirlpool	Whirlpool	NPFS000
Woodcock	Woodcock	NPMS000
WritingTool	WritingTool	NPMN000
