# Mapping en-US <-> en-GB. The spell checker will *not* use this file to decide
# which words are correct, but only to display a more specific error message in case
# a user writing an en-US text uses a en-GB word and vice versa.
absolutize;absolutise
absolutized;absolutised
absolutizes;absolutises
absolutizing;absolutising
accessorize;accessorise
accessorized;accessorised
accessorizes;accessorises
accessorizing;accessorising
acclimatization;acclimatisation
acclimatize;acclimatise
acclimatized;acclimatised
acclimatizer;acclimatiser
acclimatizers;acclimatisers
acclimatizes;acclimatises
acclimatizing;acclimatising
achromatize;achromatise
achromatized;achromatised
achromatizes;achromatises
achromatizing;achromatising
acidize;acidise
acidized;acidised
acidizes;acidises
acidizing;acidising
acknowledgment;acknowledgement
acknowledgments;acknowledgements
actualization;actualisation
actualize;actualise
actualized;actualised
actualizes;actualises
actualizing;actualising
adonize;adonise
adonized;adonised
adonizes;adonises
adonizing;adonising
adrenalectomize;adrenalectomise
adrenalectomized;adrenalectomised
adrenalectomizes;adrenalectomises
adrenalectomizing;adrenalectomising
aerobicize;aerobicise
aerobicized;aerobicised
aerobicizes;aerobicises
aerobicizing;aerobicising
aerosolize;aerosolise
aerosolized;aerosolised
aerosolizes;aerosolises
aerosolizing;aerosolising
aestheticize;aestheticise
aestheticized;aestheticised
aestheticizes;aestheticises
aestheticizing;aestheticising
agatize;agatise
agatized;agatised
agatizes;agatises
agatizing;agatising
aggrandize;aggrandise
aggrandized;aggrandised
aggrandizes;aggrandises
aggrandizing;aggrandising
aging;ageing
agonize;agonise
agonized;agonised
agonizes;agonises
agonizing;agonising
agonizingly;agonisingly
airplane;aeroplane
airplanes;aeroplanes
alchemize;alchemise
alchemized;alchemised
alchemizes;alchemises
alchemizing;alchemising
alcoholize;alcoholise
alcoholized;alcoholised
alcoholizes;alcoholises
alcoholizing;alcoholising
alienize;alienise
alienized;alienised
alienizes;alienises
alienizing;alienising
alkalinization;alkalinisation
alkalize;alkalise
alkalized;alkalised
alkalizes;alkalises
alkalizing;alkalising
allatectomize;allatectomise
allatectomized;allatectomised
allatectomizes;allatectomises
allatectomizing;allatectomising
allegorize;allegorise
allegorized;allegorised
