#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
ménage à trois	NN
Ménage à Trois	NN
Moulin Rouge	NNP
Organisation of Islamic Cooperation	NNP # www.oic-oci.org/home/?lan=en
quid pro quo	NN
Quid Pro Quo	NN
quid pro quos	NNS
Quid Pro Quos	NNS
Taj Mahal	NNP
Yom Kippur	NNP
New Hampshireman	NNP
New Hampshiremen	NNPS
Kuiper Belt	NNP
Ratha Yatra	NNP
Big Sur	NNP
Valle del Cauca	NNP
San Juan de Pasto	NNP
Guadalajara de Buga	NNP
La Guajira	NNP
Norte de Santander	NNP
Las Palmas	NNP
Gran Canaria	NNP
A Coruña	NNP
Alcalá de Henares	NNP
Castellón de la Plana	NNP
San Cristóbal de La Laguna	NNP
Santa Cruz de Tenerife	NNP
San Sebastián	NNP
La Rioja	NNP
Dos Hermanas	NNP
Torrejón de Ardoz	NNP
Santa Coloma de Gramenet	NNP
Santiago de Compostela	NNP
Roquetas de Mar	NNP
Las Rozas de Madrid	NNP
San Fernando	NNP
Sant Cugat del Vallès	NNP
San Sebastián de los Reyes	NNP
Cornellà de Llobregat	NNP
El Puerto de Santa María	NNP
Pozuelo de Alarcón	NNP
Chiclana de la Frontera	NNP
Sant Boi de Llobregat	NNP
El Ejido	NNP
Talavera de la Reina	NNP
Alcalá de Guadaíra	NNP
Ciudad López Mateos	NNP
Atizapán de Zaragoza	NNP
Cuautitlán Izcalli	NNP
Ciudad Apodaca	NNP
General Escobedo	NNP
Ciudad Victoria	NNP
Ciudad Obregón	NNP
San Nicolás de los Garza	NNP
Tuxtla Gutiérrez	NNP
Durango City	NNP
Querétaro City	NNP
San Luis Potosí	NNP
Ciudad Juárez	NNP
Puebla City	NNP
Ciudad Obregón	NNP
Ciudad Nicolás Romero	NNP
Coacalco de Berriozábal	NNP
Santa Catarina	NNP
Gómez Palacio	NNP
Los Mochis	NNP
Oaxaca City	NNP
Soledad de Graciano Sánchez	NNP
Ojo de Agua	NNP
Campeche City	NNP
Valle de Chalco Solidaridad	NNP
La Paz	NNP
Puerto Vallarta	NNP
