# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three tab-separated fields: fullform baseform postags
#revolutionary	revolutionary	JJ
فشلت	فشل	VP
الأخصائي	أخصائي	ADJ
لأخصائي	أخصائي	ADJ
بأخصائي	أخصائي	ADJ
كأخصائي	أخصائي	ADJ
كأخصائي	أخصائي	ADJ
بالأخصائي	أخصائي	ADJ
للأخصائي	أخصائي	ADJ
كالأخصائي	أخصائي	ADJ
الاستبيان	استبيان	NN
لاستبيان	استبيان	NN
باستبيان	استبيان	NN
بالاستبيان	استبيان	NN
حاز	حاز	VP
يحوز	حاز	VP
حازت	حاز	VP
الطقوس	طقوس	NN
الآونة	آونة	NN
البواسل	بواسل	NN
المستهتر	مستهتر	NN
السواح	سواح	NN
على	على	PR
عليه	على	PR
عليها	على	PR
علينا	على	PR
عليهما	على	PR
عليهم	على	PR
عليهن	على	PR
في	في	PR
فيه	في	PR
فيها	في	PR
فينا	في	PR
فيهما	في	PR
فيهم	في	PR
فيهن	في	PR
الأمر	أمر	NN
بالأمر	أمر	NN
للأمر	أمر	NN
كالأمر	أمر	NN
بأمر	أمر	NN
لأمر	أمر	NN
الإمكانيات	إمكانيات	NN
أشهر	شهر	NMP
شهور	شهر	NMP
نسوة	نسوة	NFP
أولاد	ولد	NMP
بنات	بنت	NFP
