# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
j	je	R pers suj 1 s
au	au	D m s
auquel	auquel	R inte m s
auquel	auquel	R rel m s
avant	avant	N m s
autre	autre	J e s
autre	autre	N e s
autre	autre	R
autres	autre	N e p
autrui	autrui	R e s
aux	aux	D e p
auxquelles	auquel	R inte f p
auxquelles	auquel	R rel f p
auxquels	auquel	R inte m p
auxquels	auquel	R rel m p
celle-ci	celle-ci	R dem f s
celle-là	celle-là	R dem f s
celles	celle	R dem f p
celles-ci	celles-ci	R dem f p
celles-là	celles-là	R dem f p
certaines	certain	R f p
certains	certain	R m p
ces	ces	D e p
cet	cet	D m s
cette	cette	D f s
ceux	ceux	R dem m p
ceux-ci	ceux-ci	R dem m p
ceux-là	ceux-là	R dem m p
cf	cf	A
chacune	chacune	R f s
ci-devant	ci-devant	A
#comme	comme	A
des	des	D e p
desquelles	desquelles	R inte f p
desquelles	desquelles	R rel f p
desquels	desquels	R inte m p
desquels	desquels	R rel m p
du	du	D m s
duquel	duquel	R inte m s
duquel	duquel	R rel m s
icelle	icelle	D f s
icelle	icelle	R dem f s
icelles	icelles	D f p
icelles	icelles	R dem f p
icelui	icelui	D m s
icelui	icelui	R dem m s
iceux	iceux	D m p
iceux	iceux	R dem m p
la	la	D f s
la	la	R pers obj 3 f s
les	les	D e p
lesdites	lesdites	D f p
lesdits	lesdits	D m p
lesquelles	lesquelles	R inte f p
lesquelles	lesquelles	R rel f p
lesquels	lequel	R inte m p
ma	ma	D f s
mes	mes	D e p
moi-même	moi-même	R pers obj 1 s
partant	partant	C
quiconque	quiconque	R
sa	sa	D f s
ses	ses	D e p
ta	ta	D f s
tes	tes	D e p
une	une	D f s
vos	vos	D e p
y	y	R pers obj
ça	ça	R dem m s
ès	ès	P
qu	que	C sub
puisqu	puisque	C sub
l	le	D e s
l	l’	D e s
l	l’	R pers obj 3 e s
c	ce	R dem m s
c	ce	D m s
c	ce	R dem e sp
attoseconde	seconde	N f s
centiseconde	seconde	N f s
décaseconde	seconde	N f s
déciseconde	seconde	N f s
exaseconde	seconde	N f s
femtoseconde	seconde	N f s
gigaseconde	seconde	N f s
hectoseconde	seconde	N f s
kiloseconde	seconde	N f s
microseconde	seconde	N f s
milliseconde	seconde	N f s
mégaseconde	seconde	N f s
nanoseconde	seconde	N f s
petaseconde	seconde	N f s
picoseconde	seconde	N f s
pétaseconde	seconde	N f s
téraseconde	seconde	N f s
yoctoseconde	seconde	N f s
yottaseconde	seconde	N f s
zeptoseconde	seconde	N f s
zettaseconde	seconde	N f s
attosecondes	seconde	N f p
centisecondes	seconde	N f p
décasecondes	seconde	N f p
décisecondes	seconde	N f p
exasecondes	seconde	N f p
femtosecondes	seconde	N f p
gigasecondes	seconde	N f p
hectosecondes	seconde	N f p
kilosecondes	seconde	N f p
microsecondes	seconde	N f p
millisecondes	seconde	N f p
mégasecondes	seconde	N f p
nanosecondes	seconde	N f p
petasecondes	seconde	N f p
picosecondes	seconde	N f p
pétasecondes	seconde	N f p
térasecondes	seconde	N f p
yoctosecondes	seconde	N f p
yottasecondes	seconde	N f p
zeptosecondes	seconde	N f p
zettasecondes	seconde	N f p
Guyana	Guyana	N m sp
Otan	Otan	N f sp
vingt-et-un	vingt-et-un	D e p
trente-et-un	trente-et-un	D e p
quatre-vingt-un	quatre-vingt-un	D e p
quarante-et-un	quarante-et-un	D e p
cinquante-et-un	cinquante-et-un	D e p
soixante-et-un	soixante-et-un	D e p
nonante-et-un	nonante-et-un	D e p
septante-et-un	septante-et-un	D e p
huitante-et-un	huitante-et-un	D e p
octante-et-un	octante-et-un	D e p
elle	elle	R pers obj 3 f s
elles	elle	R pers obj 3 f p
CSS	CSS	N f sp
MA	MA	N m sp
chauves-souris	chauves-souris	N f p
